"Reference","Value","Datasheet","Footprint","Qty","DNP"
"C1","10uF","~","Capacitor_THT:CP_Radial_D5.0mm_P2.50mm","1",""
"C2,C5","0.1uF","~","Capacitor_THT:CP_Radial_D5.0mm_P2.50mm","2",""
"C3","1nF","~","Capacitor_THT:C_Disc_D3.0mm_W2.0mm_P2.50mm","1",""
"C4","0.33uF","~","Capacitor_THT:CP_Radial_D5.0mm_P2.50mm","1",""
"D1","1N4001","https://www.vishay.com/docs/88503/1n4001.pdf","Diode_THT:D_DO-41_SOD81_P10.16mm_Horizontal","1",""
"J1","Battery","https://docs.rs-online.com/0623/0900766b8157c7d5.pdf","TerminalBlock:TerminalBlock_bornier-2_P5.08mm","1",""
"J2","ADC PIN","~","Connector_PinHeader_2.54mm:PinHeader_1x01_P2.54mm_Vertical","1",""
"J3","PWM PIN","~","Connector_PinHeader_2.54mm:PinHeader_1x01_P2.54mm_Vertical","1",""
"J4","DC Moter (Brushes)","https://dk.rs-online.com/web/p/dc-motorer-jaevnstromsmotorer/2389737?gb=s","TerminalBlock:TerminalBlock_bornier-2_P5.08mm","1",""
"J5","L298N Module","https://docs.rs-online.com/0623/0900766b8157c7d5.pdf","TerminalBlock:TerminalBlock_bornier-2_P5.08mm","1",""
"J6","Sensor/Main PCB","https://docs.rs-online.com/0623/0900766b8157c7d5.pdf","TerminalBlock:TerminalBlock_bornier-2_P5.08mm","1",""
"Q1","NMOS","https://docs.rs-online.com/32cc/0900766b814c8cbb.pdf","Package_TO_SOT_THT:TO-220-3_Vertical","1",""
"R1","10k","~","Resistor_THT:R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal","1",""
"U1","ACS712xLCTR-05B","http://www.allegromicro.com/~/media/Files/Datasheets/ACS712-Datasheet.ashx?la=en","Package_SO:SOIC-8_3.9x4.9mm_P1.27mm","1",""
"U2","L7805","http://www.st.com/content/ccc/resource/technical/document/datasheet/41/4f/b3/b0/12/d4/47/88/CD00000444.pdf/files/CD00000444.pdf/jcr:content/translations/en.CD00000444.pdf","Package_TO_SOT_THT:TO-220-3_Vertical","1",""
